latitude,longitude,light,sound average,sound peak,MQ9 gas average,people
51.5031318664,0.0068066,14,41.54,317,514.3,0
51.5031394958,0.0068183002,14,41.75,337,519.15,0
51.5031394958,0.0068183002,14,41.28,314,515.35,0
51.5031394958,0.0068183002,14,38.97,330,514.19,0
51.5031394958,0.0068183002,14,44.98,343,516.08,0
51.5031394958,0.0068183002,13,41.95,354,516.41,0
51.5031394958,0.0068183002,14,46.75,318,515.57,0
51.5031394958,0.0068183002,14,44.63,317,514.02,0
51.5031394958,0.0068183002,14,39.13,347,518.51,0
51.5031394958,0.0068183002,15,40.74,336,517.62,0
51.5031394958,0.0068183002,15,41.37,342,512.1,0
51.5031394958,0.0068183002,15,38.54,313,514.2,0
51.5031394958,0.0068183002,14,40.12,351,512.32,0
51.5031394958,0.0068183002,14,38.47,339,513.74,0
51.5031394958,0.0068183002,15,41.06,351,515.82,0
51.5031394958,0.0068183002,14,39.75,301,514.23,0
51.5031394958,0.0068183002,14,44.11,328,518.39,0
51.5031394958,0.0068183002,14,43.73,343,512.72,0
51.5031394958,0.0068183002,14,39.54,339,516.51,0
51.5031394958,0.0068183002,14,40.84,295,515.12,0
51.5026931762,0.007,14,37.67,348,514.07,0
51.5026626586,0.0070065999,14,42.6,310,517.32,0
51.5026435852,0.0070150003,14,41.67,344,517.26,0
51.5026283264,0.0070282993,14,37.3,296,514.22,0
51.5026054382,0.0070433006,13,40.12,339,515.1,0
51.5025787353,0.0070532999,14,40.33,320,514.14,0
51.5025558471,0.0070616002,14,21.77,287,514.26,0
51.5025558471,0.0070666003,14,24.52,326,515.14,0
51.5025482177,0.0070783004,14,19.79,322,518.18,0
51.5025558471,0.0070815992,14,20.31,294,512.89,0
51.5025215148,0.0071066007,14,19.64,280,512.59,0
51.5025138854,0.0071216001,14,21.87,346,514.37,0
51.5025062561,0.0071350007,14,19.5,333,513.29,0
51.5024986267,0.0071500005,14,20.54,282,513.05,0
51.5024909973,0.0071616005,14,18.22,324,513.23,0
51.5024833679,0.0071716003,14,18.82,334,513.4,0
51.5024757385,0.0071816005,14,18.08,279,514.93,0
51.5024757385,0.0071915998,14,19.05,330,513.56,0
51.502456665,0.0072000002,14,17.66,316,513.57,0
51.5024337768,0.0072149996,14,18.88,337,516.34,0
51.5024261474,0.0072300004,14,18.63,298,512.88,0
51.5024070739,0.0072382998,13,20.23,319,513.99,0
51.5023841857,0.0072449994,13,23.38,452,519.72,0
51.502368927,0.0072516002,13,17.11,312,515.34,0
51.5023422241,0.0072566003,14,17.62,315,514.27,0
51.5023345947,0.0072633004,14,21.72,318,514.22,0
51.5023193359,0.007275,14,16.99,236,512.71,0
51.5023117065,0.0072866001,14,16.32,298,513.8,0
51.5023040771,0.0072982997,14,20.34,329,510.39,0
51.5023040771,0.0073116006,12,21.31,322,516.87,0
51.5022964477,0.0073283004,13,21.98,293,512.01,0
51.5022850036,0.0073500003,13,19.38,305,512.55,0
51.5022773742,0.0073700003,14,43.97,404,523.22,0
51.5022697448,0.0073900008,14,44.78,295,514.93,0
51.5022621154,0.0074149994,14,39.87,300,515.61,0
51.502254486,0.0074350004,15,36.29,334,517.05,0
51.5022392272,0.0074465999,15,46.68,284,519.03,0
51.5022392272,0.0074532995,16,39.9,309,516.98,0
51.5022201538,0.0074633002,16,37.87,302,513.57,0
51.5022125244,0.0074699997,17,43.87,319,514.91,0
51.5021972656,0.0074766006,16,39.34,286,515.61,0
51.5021896362,0.0074833006,16,41.51,340,512.07,0
51.5021820068,0.0074900002,17,42.73,354,515.98,0
51.5021743774,0.0075,16,38.46,337,511.85,0
51.5021629333,0.0075065999,16,43.27,300,515.51,0
51.5021553039,0.0075132999,16,42.24,327,428.63,1
51.5021400451,0.0075232992,16,37.23,347,516.47,0
51.5021324157,0.0075400009,15,40.33,315,513.21,0
51.5021171569,0.0075550007,14,37.54,355,515.41,0
51.5021095275,0.0075666003,14,34.44,322,516.17,0
51.5020980834,0.0075766,13,17.64,320,513.71,0
51.5020828247,0.0075865993,13,19.07,299,513.7,0
51.5020675659,0.0075933008,13,18.97,341,513.21,0
51.5020523071,0.0076083002,13,17.8,325,513.57,0
51.5020332336,0.0076300001,13,21.14,295,515.18,0
51.5020179748,0.0076465997,13,20.18,318,514.24,0
